,Feature 1,Feature 2
86,pixel_original_glcm_Autocorrelation_scale_None_channel_1_mean,pixel_original_glcm_Autocorrelation_scale_None_channel_1_lognorm_fit_p2
87,pixel_original_glcm_Autocorrelation_scale_None_channel_1_lognorm_fit_p2,pixel_original_glcm_Autocorrelation_scale_None_channel_1_mean
88,pixel_original_glcm_Autocorrelation_scale_None_channel_1_variance,pixel_original_glcm_Autocorrelation_scale_None_channel_1_mean
89,pixel_original_glcm_Autocorrelation_scale_None_channel_1_mean,pixel_original_glcm_Autocorrelation_scale_None_channel_1_variance
90,pixel_original_glcm_None_scale_None_channel_1_mean,pixel_original_glcm_Autocorrelation_scale_None_channel_1_mean
91,pixel_original_glcm_Autocorrelation_scale_None_channel_1_mean,pixel_original_glcm_None_scale_None_channel_1_mean
92,pixel_original_glcm_Autocorrelation_scale_None_channel_1_mean,pixel_original_glcm_None_scale_None_channel_1_variance
93,pixel_original_glcm_None_scale_None_channel_1_variance,pixel_original_glcm_Autocorrelation_scale_None_channel_1_mean
94,pixel_original_glcm_Autocorrelation_scale_None_channel_1_variance,pixel_original_glcm_None_scale_None_channel_1_variance
95,pixel_original_glcm_None_scale_None_channel_1_variance,pixel_original_glcm_Autocorrelation_scale_None_channel_1_variance
96,pixel_original_glcm_None_scale_None_channel_1_lognorm_fit_p2,pixel_original_glcm_Autocorrelation_scale_None_channel_1_lognorm_fit_p2
97,pixel_original_glcm_Autocorrelation_scale_None_channel_1_lognorm_fit_p2,pixel_original_glcm_None_scale_None_channel_1_lognorm_fit_p2
98,pixel_original_glcm_None_scale_None_channel_1_variance,pixel_original_glcm_None_scale_None_channel_1_mean
99,pixel_original_glcm_None_scale_None_channel_1_mean,pixel_original_glcm_None_scale_None_channel_1_variance
100,pixel_original_glcm_None_scale_None_channel_1_lognorm_fit_p2,pixel_original_glcm_Autocorrelation_scale_None_channel_1_mean
101,pixel_original_glcm_Autocorrelation_scale_None_channel_1_mean,pixel_original_glcm_None_scale_None_channel_1_lognorm_fit_p2
102,pixel_original_glcm_None_scale_None_channel_1_mean,pixel_original_glcm_Autocorrelation_scale_None_channel_1_lognorm_fit_p2
